X|000000000000000000000000000000000000000000000000000000|44
W|000000000000000000000000000000000000000000000000000000|6
W|000000100000000000000000000000000000000000000000000000|33
X|000000000000000000000000000000000000000000001000000000|53
W|000000000000000000000000000000000000000000000000000000|18
X|000000000000000000000000000000000000000000000000000000|35
X|000000000000000000000000000000000001000000000000000000|47
W|000000000000000000100000000000000000000000000000000000|17
W|000000000000000001100000000000000000000000000000000000|11
X|000000000000000000000000000000000001000000000001000000|38
X|000000000000000000000000000000000000000000000000000000|45
W|000000000000000000000000000000000000000000000000000000|35
W|000000000000000000000000000000000001000000000000000000|1
X|000000000000000000000000000000000000000000000100000000|20
W|010000000000000000000000000000000001000000000000000000|11
W|010000000001000000000000000000000001000000000000000000|23
X|000000000000000000001000000000000000000000000100000000|32
W|000000000000000000000000000000000000000000000000000000|7
X|000000000000000000000000000000000000000000000000000000|22
Y|000000000000000000000000000000000000000000000000000000|1
Z|000000000000000000000000000000000000000000000000000000|23
Z|000000000000000000000001000000000000000000000000000000|40
Y|010000000000000000000000000000000000000000000000000000|38
X|000000000000000000000010000000000000000000000000000000|39
W|000000010000000000000000000000000000000000000000000000|26
Z|000000000000000000000001000000000000000010000000000000|13
Y|000000000000000000000000000000000000000000000000000000|22
Z|000000000000000000000000000000000000000000000000000000|21
W|000000000000000000000000000000000000000000000000000000|52
X|000000000000000000000000000000000000000000000000000000|36
X|000000000000000000000000000000000000100000000000000000|32
W|000000000000000000000000000000000000000000000000000010|42
Z|000000000000000000000100000000000000000000000000000000|25
Y|000000000000000000000010000000000000000000000000000000|1
X|000000000000000000000000000000001000100000000000000000|39
W|000000000000000000000000000000000000000000100000000010|51
X|000000000000000000000000000000001000100100000000000000|45
Z|000000000000000000000100010000000000000000000000000000|15
W|000000000000000000000000000000000000000000000000000000|48
X|000000000000000000000000000000000000000000000000000000|8
Y|000000000000000000000000000000000000000000000000000000|1
Z|000000000000000000000000000000000000000000000000000000|31
Z|000000000000000000000000000000010000000000000000000000|47
Y|010000000000000000000000000000000000000000000000000000|29
X|000000001000000000000000000000000000000000000000000000|10
W|000000000000000000000000000000000000000000000000100000|16
X|000000001010000000000000000000000000000000000000000000|9
Y|000000000000000000000000000000000000000000000000000000|48
Z|000000000000000000000000000000000000000000000000000000|9
W|000000000000000000000000000000000000000000000000000000|0
X|000000000000000000000000000000000000000000000000000000|18
X|000000000000000000100000000000000000000000000000000000|15
W|100000000000000000000000000000000000000000000000000000|25
Z|000000000100000000000000000000000000000000000000000000|30
Y|000000000000000000000000000000000000000000000000100000|40
W|000000000000000000000000000000000000000000000000000000|24
X|000000000000000000000000000000000000000000000000000000|35
Y|000000000000000000000000000000000000000000000000000000|49
Z|000000000000000000000000000000000000000000000000000000|46
Z|000000000000000000000000000000000000000000000010000000|1
Y|000000000000000000000000000000000000000000000000010000|13
X|000000000000000000000000000000000001000000000000000000|48
W|000000000000000000000000100000000000000000000000000000|15
X|000000000000000000000000000000000001000000000000100000|33
X|000000000000000000000000000000000101000000000000100000|23
Y|000000000000000000000000000000000000000000000000000000|45
Z|000000000000000000000000000000000000000000000000000000|51
W|000000000000000000000000000000000000000000000000000000|35
X|000000000000000000000000000000000000000000000000000000|38
X|000000000000000000000000000000000000001000000000000000|4
W|000000000000000000000000000000000001000000000000000000|21
Z|000000000000000000000000000000000000000000000000000100|18
Y|000000000000000000000000000000000000000000000100000000|19
Y|000000000000000000010000000000000000000000000100000000|31
X|000000000000000000000000000000000000000000000000000000|35
Y|000000000000000000000000000000000000000000000000000000|43
Z|000000000000000000000000000000000000000000000000000000|2
W|000000000000000000000000000000000000000000000000000000|44
W|000000000000000000000000000000000000000000001000000000|45
Z|001000000000000000000000000000000000000000000000000000|8
Y|000000000000000000000000000000000000000000010000000000|11
X|000000000000000000000000000000000001000000000000000000|26
X|000000000000000000000000001000000001000000000000000000|15
X|000000000000000100000000001000000001000000000000000000|24
X|000000000000000100000000101000000001000000000000000000|23
Y|000000000001000000000000000000000000000000010000000000|3
W|000000000000000000000000000000000000000000001100000000|52
Z|001000001000000000000000000000000000000000000000000000|14
Y|000100000001000000000000000000000000000000010000000000|51
Y|000100000001000000000000000000000000000000010000000100|34
Z|000000000000000000000000000000000000000000000000000000|40
W|000000000000000000000000000000000000000000000000000000|50
X|000000000000000000000000000000000000000000000000000000|51
Y|000000000000000000000000000000000000000000000000000000|16
Y|000000000000000010000000000000000000000000000000000000|39
X|000000000000000000000000000000000000000000000000000100|32
W|000000000000000000000000000000000000000000000000001000|49
Z|000000000000000000000000000000000000000010000000000000|2
Z|001000000000000000000000000000000000000010000000000000|4
Y|000000000000000010000000000000000000000100000000000000|17
Y|000000000000000000000000000000000000000000000000000000|42
